,Unnamed: 0,Unnamed: 0.1,URL,address,signal,lat,lng
0,0,0,https://www.tripadvisor.com/Hotel_Review-g60745-d94368-Reviews-DoubleTree_by_Hilton_Hotel_Boston_Bayside-Boston_Massachusetts.html,"240 Mount Vernon Street at Bayside Center, Boston, MA 02125-3120",finish,42.3202777,-71.04789199999999
1,1,1,https://www.tripadvisor.com/Hotel_Review-g60745-d8316858-Reviews-The_Godfrey_Hotel_Boston-Boston_Massachusetts.html,"505 Washington St, Boston, MA 02111-1211",finish,42.35463980000001,-71.06154269999999
2,2,2,https://www.tripadvisor.com/Hotel_Review-g60745-d94330-Reviews-Seaport_Hotel-Boston_Massachusetts.html,"1 Seaport Lane, Boston, MA 02210-2013",finish,42.3503912,-71.04222039999999
3,3,3,https://www.tripadvisor.com/Hotel_Review-g60745-d111413-Reviews-The_Revolution_Hotel-Boston_Massachusetts.html,"40 Berkeley St, Boston, MA 02116-6316",finish,42.3459092,-71.0709013
4,4,4,https://www.tripadvisor.com/Hotel_Review-g60745-d111444-Reviews-Fairmont_Copley_Plaza_Boston-Boston_Massachusetts.html,"138 St James Avenue, Boston, MA 02116-5002",finish,42.3490269,-71.0763331
5,5,5,https://www.tripadvisor.com/Hotel_Review-g60745-d6485213-Reviews-The_Verb_Hotel-Boston_Massachusetts.html,"1271 Boylston Street, Boston, MA 02215-3410",finish,42.3454596,-71.096992
6,6,6,https://www.tripadvisor.com/Hotel_Review-g60745-d121009-Reviews-Holiday_Inn_Express_Boston-Boston_Massachusetts.html,"69 Boston Street, Boston, MA 02125-1143",finish,42.32715899999999,-71.05938739999999
7,7,7,https://www.tripadvisor.com/Hotel_Review-g60745-d89620-Reviews-Hyatt_Regency_Boston_Harbor-Boston_Massachusetts.html,"101 Harborside Drive, Boston, MA 02128-2918",finish,42.3592641,-71.0272118
8,8,8,https://www.tripadvisor.com/Hotel_Review-g60745-d17452622-Reviews-CitizenM_Boston_North_Station-Boston_Massachusetts.html,"80 Causeway St # 120, Boston, MA 02114-1603",finish,0.0,0.0
9,9,9,https://www.tripadvisor.com/Hotel_Review-g60745-d111441-Reviews-Hyatt_Regency_Boston-Boston_Massachusetts.html,"1 Ave De Lafayette, Boston, MA 02111-1739",finish,42.353555,-71.0611084
10,10,10,https://www.tripadvisor.com/Hotel_Review-g60745-d111418-Reviews-Boston_Park_Plaza-Boston_Massachusetts.html,"50 Park Plaza At Arlington Street, Boston, MA 02116-3912",finish,42.3510417,-71.06970489999999
11,11,11,https://www.tripadvisor.com/Hotel_Review-g60745-d89575-Reviews-Boston_Harbor_Hotel-Boston_Massachusetts.html,"70 Rowes Wharf, Boston, MA 02110-3354",finish,42.3562236,-71.0502554
12,12,12,https://www.tripadvisor.com/Hotel_Review-g60745-d620703-Reviews-InterContinental_Boston-Boston_Massachusetts.html,"510 Atlantic Avenue, Boston, MA 02210-2210",finish,42.3536908,-71.0519125
13,13,13,https://www.tripadvisor.com/Hotel_Review-g60745-d12223452-Reviews-YOTEL_Boston-Boston_Massachusetts.html,"65 Seaport Blvd, Boston, MA 02210-2041",finish,42.3522991,-71.0472113
14,14,14,https://www.tripadvisor.com/Hotel_Review-g60745-d234752-Reviews-Kimpton_Nine_Zero_Hotel-Boston_Massachusetts.html,"90 Tremont St., Boston, MA 02108-4101",finish,42.357306,-71.06068739999999
15,15,15,https://www.tripadvisor.com/Hotel_Review-g60745-d114150-Reviews-Bostonian_Boston-Boston_Massachusetts.html,"26 North Street, Boston, MA 02109-1503",finish,42.3610113,-71.05606639999999
16,16,16,https://www.tripadvisor.com/Hotel_Review-g60745-d1486034-Reviews-W_Boston-Boston_Massachusetts.html,"100 Stuart Street, Boston, MA 02116-4715",finish,42.3508419,-71.0656551
17,17,17,https://www.tripadvisor.com/Hotel_Review-g60745-d20403958-Reviews-Hyatt_Place_Boston_Seaport_District-Boston_Massachusetts.html,"295 Northern Ave, Boston, MA 02210-2025",finish,42.347414,-71.037515
18,18,18,https://www.tripadvisor.com/Hotel_Review-g60745-d647006-Reviews-The_Liberty_a_Luxury_Collection_Hotel_Boston-Boston_Massachusetts.html,"215 Charles Street, Boston, MA 02114-3001",finish,42.3621448,-71.070112
19,19,19,https://www.tripadvisor.com/Hotel_Review-g60745-d15161474-Reviews-Hyatt_Centric_Faneuil_Hall_Boston-Boston_Massachusetts.html,"54-68 Devonshire St, Boston, MA 02109-3612",finish,42.3582602,-71.0571476
20,20,20,https://www.tripadvisor.com/Hotel_Review-g60745-d258705-Reviews-Hotel_Commonwealth-Boston_Massachusetts.html,"500 Commonwealth Avenue, Boston, MA 02215-2606",finish,42.3486282,-71.0952228
21,21,21,https://www.tripadvisor.com/Hotel_Review-g60745-d1201116-Reviews-Battery_Wharf_Hotel_Boston_Waterfront-Boston_Massachusetts.html,"3 Battery Wharf, Boston, MA 02109-1098",finish,42.3673532,-71.0503107
22,22,22,https://www.tripadvisor.com/Hotel_Review-g60745-d89617-Reviews-The_Westin_Copley_Place_Boston-Boston_Massachusetts.html,"10 Huntington Avenue, Boston, MA 02116",finish,42.3484729,-71.0769353
23,23,23,https://www.tripadvisor.com/Hotel_Review-g60745-d4325990-Reviews-Residence_Inn_by_Marriott_Boston_Back_Bay_Fenway-Boston_Massachusetts.html,"125 Brookline Ave, Boston, MA 02215-3904",finish,42.3457793,-71.10059439999999
24,24,24,https://www.tripadvisor.com/Hotel_Review-g60745-d111428-Reviews-Hilton_Boston_Back_Bay-Boston_Massachusetts.html,"40 Dalton Street, Boston, MA 02115-3155",finish,42.3465566,-71.0855717
25,25,25,https://www.tripadvisor.com/Hotel_Review-g60745-d94399-Reviews-Club_Quarters_Hotel_in_Boston-Boston_Massachusetts.html,"161 Devonshire St between Milk & Franklin Streets, Boston, MA 02110-1402",finish,42.3562132,-71.0575314
26,26,26,https://www.tripadvisor.com/Hotel_Review-g60745-d120988-Reviews-Hilton_Boston_Logan_Airport-Boston_Massachusetts.html,"One Hotel Drive Logan International Airport, Boston, MA 02128-5500",finish,42.3656132,-71.0095602
27,27,27,https://www.tripadvisor.com/Hotel_Review-g60745-d111416-Reviews-Boston_Marriott_Copley_Place-Boston_Massachusetts.html,"110 Huntington Avenue, Boston, MA 02116",finish,42.34702,-71.07922200000002
28,28,28,https://www.tripadvisor.com/Hotel_Review-g60745-d268205-Reviews-Embassy_Suites_by_Hilton_Boston_at_Logan_Airport-Boston_Massachusetts.html,"207 Porter Street, Boston, MA 02128-2213",finish,42.3702104,-71.03176210000001
29,29,29,https://www.tripadvisor.com/Hotel_Review-g60745-d595373-Reviews-The_Westin_Boston_Waterfront-Boston_Massachusetts.html,"425 Summer Street, Boston, MA 02210",finish,42.3460859,-71.0432799
30,30,30,https://www.tripadvisor.com/Hotel_Review-g60745-d94326-Reviews-Hilton_Boston_Downtown_Faneuil_Hall-Boston_Massachusetts.html,"89 Broad Street, Boston, MA 02110-3509",finish,42.3574581,-71.0531828
31,31,31,https://www.tripadvisor.com/Hotel_Review-g60745-d1136705-Reviews-Mandarin_Oriental_Boston-Boston_Massachusetts.html,"776 Boylston St, Boston, MA 02199-7841",finish,42.3487748,-71.0813479
32,32,33,https://www.tripadvisor.com/Hotel_Review-g60745-d111423-Reviews-The_Eliot_Hotel-Boston_Massachusetts.html,"370 Commonwealth Ave., Boston, MA 02215-2801",finish,42.3485644,-71.0886357
33,33,34,https://www.tripadvisor.com/Hotel_Review-g60745-d17581985-Reviews-The_Whitney_Hotel_Boston-Boston_Massachusetts.html,"170 Charles St, Boston, MA 02114-3253",finish,42.3605495,-71.0710663
34,34,35,https://www.tripadvisor.com/Hotel_Review-g60745-d114134-Reviews-Lenox_Hotel-Boston_Massachusetts.html,"61 Exeter Street at Boylston, Boston, MA 02116-3505",finish,42.3491924,-71.07961519999999
35,35,36,https://www.tripadvisor.com/Hotel_Review-g60745-d77638-Reviews-The_Inn_At_Longwood_Medical-Boston_Massachusetts.html,"342 Longwood Ave, Boston, MA 02115-5745",finish,42.3383223,-71.1064677
36,36,37,https://www.tripadvisor.com/Hotel_Review-g60745-d89585-Reviews-Four_Seasons_Hotel_Boston-Boston_Massachusetts.html,"200 Boylston St, Boston, MA 02116-3916",finish,42.3521477,-71.0683014
37,37,39,https://www.tripadvisor.com/Hotel_Review-g60745-d321151-Reviews-Loews_Boston_Hotel-Boston_Massachusetts.html,"154 Berkeley Street, Boston, MA 02116-5107",finish,42.34913239999999,-71.0724762
38,38,40,https://www.tripadvisor.com/Hotel_Review-g60745-d13403186-Reviews-Courtyard_Boston_Downtown_North_Station-Boston_Massachusetts.html,"107 Beverly St, Boston, MA 02114-2102",finish,42.3656768,-71.0596539
39,39,41,https://www.tripadvisor.com/Hotel_Review-g60745-d94337-Reviews-XV_Beacon-Boston_Massachusetts.html,"15 Beacon St, Boston, MA 02108-2902",finish,42.3584016,-71.0619665
40,40,42,https://www.tripadvisor.com/Hotel_Review-g60745-d8142646-Reviews-Hilton_Garden_Inn_Boston_Logan_Airport-Boston_Massachusetts.html,"100 Boardman St, Boston, MA 02128-2657",finish,42.38975490000001,-71.01223499999999
41,41,43,https://www.tripadvisor.com/Hotel_Review-g60745-d94371-Reviews-The_Colonnade_Hotel-Boston_Massachusetts.html,"120 Huntington Avenue Back Bay, Boston, MA 02116-5730",finish,42.3454541,-71.0810685
42,42,44,https://www.tripadvisor.com/Hotel_Review-g60745-d8112658-Reviews-The_Envoy_Hotel_Autograph_Collection-Boston_Massachusetts.html,"70 Sleeper St, Boston, MA 02210-1226",finish,42.35375090000001,-71.0482098
43,43,45,https://www.tripadvisor.com/Hotel_Review-g60745-d268207-Reviews-Residence_Inn_Boston_Harbor_On_Tudor_Wharf-Boston_Massachusetts.html,"34 Charles River Ave # 44, Boston, MA 02129-2005",finish,0.0,0.0
44,44,46,https://www.tripadvisor.com/Hotel_Review-g60745-d287606-Reviews-Kimpton_Onyx_Hotel-Boston_Massachusetts.html,"155 Portland St, Boston, MA 02114-1702",finish,42.3641945,-71.0613606
45,45,47,https://www.tripadvisor.com/Hotel_Review-g60745-d94367-Reviews-Harborside_Inn-Boston_Massachusetts.html,"185 State Street, Boston, MA 02109-2627",finish,42.3592418,-71.05292380000002
46,46,48,https://www.tripadvisor.com/Hotel_Review-g60745-d518130-Reviews-Boston_Yacht_Haven_Inn_Marina-Boston_Massachusetts.html,"87 Commercial Wharf, Boston, MA 02110-3800",finish,42.3620143,-71.0484369
47,47,49,https://www.tripadvisor.com/Hotel_Review-g60745-d89599-Reviews-Omni_Parker_House-Boston_Massachusetts.html,"60 School Street, Boston, MA 02108-4109",finish,42.3577304,-71.0601302
48,48,50,https://www.tripadvisor.com/Hotel_Review-g60745-d89600-Reviews-Revere_Hotel_Boston_Common-Boston_Massachusetts.html,"200 Stuart Street, Boston, MA 02116-5442",finish,42.3503716,-71.0674657
49,49,51,https://www.tripadvisor.com/Hotel_Review-g60745-d8145467-Reviews-Element_Boston_Seaport_District-Boston_Massachusetts.html,"391-395 D Street, Boston, MA 02210-1907",finish,42.3430541,-71.045355
50,50,52,https://www.tripadvisor.com/Hotel_Review-g60745-d111417-Reviews-Boston_Marriott_Long_Wharf-Boston_Massachusetts.html,"296 State Street, Boston, MA 02109",finish,42.3602243,-71.0508754
51,51,53,https://www.tripadvisor.com/Hotel_Review-g60745-d111422-Reviews-DoubleTree_Suites_by_Hilton_Boston_Cambridge-Boston_Massachusetts.html,"400 Soldiers Field Road Allston, Boston, MA 02134-1893",finish,42.3601302,-71.1181605
52,52,54,https://www.tripadvisor.com/Hotel_Review-g60745-d21005926-Reviews-Home2_Suites_by_Hilton_Boston_South_Bay-Boston_Massachusetts.html,"15 Jan Karski Way, Boston, MA 02125-2693",finish,42.3255847,-71.0604982
53,53,55,https://www.tripadvisor.com/Hotel_Review-g60745-d17768161-Reviews-Moxy_Boston_Downtown-Boston_Massachusetts.html,"240 Tremont Street, Boston, MA 02116",finish,42.35086099999999,-71.06468009999999
54,54,57,https://www.tripadvisor.com/Hotel_Review-g60745-d217550-Reviews-DoubleTree_by_Hilton_Hotel_Boston_Downtown-Boston_Massachusetts.html,"821 Washington Street, Boston, MA 02111-1519",finish,42.34896380000001,-71.0642155
55,55,58,https://www.tripadvisor.com/Hotel_Review-g60745-d320038-Reviews-Hampton_Inn_Suites_Boston_Crosstown_Center-Boston_Massachusetts.html,"811 Massachusetts Avenue, Boston, MA 02118-2605",finish,42.33265290000001,-71.0729763
56,56,59,https://www.tripadvisor.com/Hotel_Review-g60745-d8145466-Reviews-Aloft_Boston_Seaport_District-Boston_Massachusetts.html,"401 D St # 403, Boston, MA 02210-1907",finish,0.0,0.0
57,57,60,https://www.tripadvisor.com/Hotel_Review-g60745-d217546-Reviews-Wyndham_Boston_Beacon_Hill-Boston_Massachusetts.html,"5 Blossom St, Boston, MA 02114-3106",finish,42.361695,-71.0666947
58,58,61,https://www.tripadvisor.com/Hotel_Review-g60745-d13351021-Reviews-AC_Hotel_by_Marriott_Boston_Cleveland_Circle-Boston_Massachusetts.html,"395 Chestnut Hill Ave, Boston, MA 02135-7769",finish,42.33477329999999,-71.1502824
59,59,62,https://www.tripadvisor.com/Hotel_Review-g60745-d15618152-Reviews-Cambria_Hotel_Boston_Downtown-Boston_Massachusetts.html,"6 W Broadway, Boston, MA 02127-1016",finish,42.3432437,-71.0569696
60,60,63,https://www.tripadvisor.com/Hotel_Review-g60745-d89592-Reviews-Found_Hotel_Boston_Common-Boston_Massachusetts.html,"78 Charles St South, Boston, MA 02116-5443",finish,42.3499744,-71.0664443
61,61,65,https://www.tripadvisor.com/Hotel_Review-g60745-d313573-Reviews-Courtyard_Boston_Copley_Square-Boston_Massachusetts.html,"88 Exeter St, Boston, MA 02116-3504",finish,42.3485863,-71.0788633
62,62,66,https://www.tripadvisor.com/Hotel_Review-g60745-d94344-Reviews-Marriott_Vacation_Club_Pulse_at_Custom_House_Boston-Boston_Massachusetts.html,"3 McKinley Square, Boston, MA 02109-2609",finish,42.35903099999999,-71.0535143
63,63,67,https://www.tripadvisor.com/Hotel_Review-g60745-d1159285-Reviews-The_Inn_At_St_Botolph-Boston_Massachusetts.html,"99 Saint Botolph St, Boston, MA 02116-6404",finish,42.345032,-71.080845
64,64,68,https://www.tripadvisor.com/Hotel_Review-g60745-d499916-Reviews-The_Boxer_Boston-Boston_Massachusetts.html,"107 Merrimac St, Boston, MA 02114-4709",finish,42.3638797,-71.06251569999999
65,65,69,https://www.tripadvisor.com/Hotel_Review-g60745-d217000-Reviews-Studio_Allston_Hotel-Boston_Massachusetts.html,"1234 Soldiers Field Rd, Boston, MA 02135-1002",finish,42.3636727,-71.1363571
66,66,71,https://www.tripadvisor.com/Hotel_Review-g60745-d280420-Reviews-The_College_Club_of_Boston-Boston_Massachusetts.html,"44 Commonwealth Ave, Boston, MA 02116-3104",finish,42.3527545,-71.0733154
67,67,72,https://www.tripadvisor.com/Hotel_Review-g60745-d1138709-Reviews-Hotel_Indigo_Boston_Garden-Boston_Massachusetts.html,"280 Friend St, Boston, MA 02114-1801",finish,42.3648163,-71.0615653
68,68,73,https://www.tripadvisor.com/Hotel_Review-g60745-d111434-Reviews-Newbury_Guest_House-Boston_Massachusetts.html,"261 Newbury St, Boston, MA 02116-2402",finish,42.3496438,-71.08332010000001
69,69,74,https://www.tripadvisor.com/Hotel_Review-g60745-d4232689-Reviews-Residence_Inn_Boston_Downtown_Seaport-Boston_Massachusetts.html,"370 Congress St, Boston, MA 02210-1810",finish,42.3503401,-71.0477831
70,70,75,https://www.tripadvisor.com/Hotel_Review-g60745-d12882338-Reviews-AC_Hotel_by_Marriott_Boston_Downtown-Boston_Massachusetts.html,"225 Albany St, Boston, MA 02118-2201",finish,42.34534379999999,-71.061661
71,71,76,https://www.tripadvisor.com/Hotel_Review-g60745-d3169894-Reviews-HI_Boston_Hostel-Boston_Massachusetts.html,"19 Stuart Street, Boston, MA 02116-4723",finish,42.3511117,-71.0634137
72,72,77,https://www.tripadvisor.com/Hotel_Review-g60745-d89619-Reviews-Courtyard_Boston_Downtown-Boston_Massachusetts.html,"275 Tremont Street, Boston, MA 02116",finish,42.3500654,-71.0654299
73,73,78,https://www.tripadvisor.com/Hotel_Review-g60745-d15528935-Reviews-Residence_Inn_Boston_Downtown_South_End-Boston_Massachusetts.html,"2001 Washington St, Boston, MA 02119-2019",finish,42.3336376,-71.081672
74,74,79,https://www.tripadvisor.com/Hotel_Review-g60745-d89568-Reviews-Staypineapple_A_Delightful_Hotel_South_End_Boston-Boston_Massachusetts.html,"26 Chandler Street, Boston, MA 02116-5221",finish,42.3469237,-71.0706459
75,75,80,https://www.tripadvisor.com/Hotel_Review-g60745-d3952875-Reviews-Bricco_Suites-Boston_Massachusetts.html,"241 Hanover St, Boston, MA 02113-2322",finish,42.3631289,-71.0549071
76,76,81,https://www.tripadvisor.com/Hotel_Review-g60745-d678412-Reviews-Renaissance_Boston_Waterfront_Hotel-Boston_Massachusetts.html,"606 Congress Street, Boston, MA 02210-2803",finish,42.3480847,-71.039098
77,77,82,https://www.tripadvisor.com/Hotel_Review-g60745-d217148-Reviews-Ramada_by_Wyndham_Boston-Boston_Massachusetts.html,"800 William T Morrissey Blvd, Boston, MA 02122-3404",finish,42.2948199,-71.04739219999999
78,78,83,https://www.tripadvisor.com/Hotel_Review-g60745-d549445-Reviews-Hotel_140-Boston_Massachusetts.html,"140 Clarendon Street Back Bay, Boston, MA 02116-5169",finish,42.3486305,-71.07446
79,79,84,https://www.tripadvisor.com/Hotel_Review-g60745-d3225572-Reviews-EnVision_Hotel_Boston_Longwood-Boston_Massachusetts.html,"81 South Huntington Avenue, Boston, MA 02130-4704",finish,42.3298962,-71.1116847
80,80,85,https://www.tripadvisor.com/Hotel_Review-g60745-d89596-Reviews-Oasis_Guest_House-Boston_Massachusetts.html,"22 Edgerly Rd Fenway Kenmore, Boston, MA 02115-3007",finish,42.3458633,-71.0877653
81,81,86,https://www.tripadvisor.com/Hotel_Review-g60745-d120977-Reviews-Copley_House-Boston_Massachusetts.html,"239 W Newton St, Boston, MA 02116-6412",finish,42.3445836,-71.0802096
82,82,87,https://www.tripadvisor.com/Hotel_Review-g60745-d89602-Reviews-Sheraton_Boston_Hotel-Boston_Massachusetts.html,"39 Dalton Street Prudential Center, Boston, MA 02199-3901",finish,42.3465151,-71.08392239999999
83,83,89,https://www.tripadvisor.com/Hotel_Review-g60745-d254294-Reviews-Constitution_Marina_s_Bed_Breakfast_Afloat-Boston_Massachusetts.html,"28 Constitution Rd Charlestown, Boston, MA 02129-2008",finish,42.371038,-71.0605593
84,84,90,https://www.tripadvisor.com/Hotel_Review-g60745-d94363-Reviews-Courtyard_by_Marriott_Boston_Logan_Airport-Boston_Massachusetts.html,"225 William F McClellan Hwy, Boston, MA 02128-1176",finish,42.3872486,-71.0164396
85,85,91,https://www.tripadvisor.com/Hotel_Review-g60745-d222958-Reviews-Comfort_Inn_Boston-Boston_Massachusetts.html,"900 William T Morrissey Blvd, Boston, MA 02122-3329",finish,42.292679,-71.047135
86,86,92,https://www.tripadvisor.com/Hotel_Review-g60745-d13846823-Reviews-Boston_Luxury_Suites-Boston_Massachusetts.html,"7 Doris St, Boston, MA 02125-1427",finish,42.3134385,-71.0563116
87,87,93,https://www.tripadvisor.com/Hotel_Review-g60745-d15334761-Reviews-Global_Luxury_Suites_On_Harrison_Ave-Boston_Massachusetts.html,"8 Harrison Ave, Boston, MA 02111-2014",finish,42.3522424,-71.06083319999999
88,88,94,https://www.tripadvisor.com/Hotel_Review-g60745-d16901250-Reviews-Four_Seasons_Hotel_One_Dalton_Street_Boston-Boston_Massachusetts.html,"1 Dalton St, Boston, MA 02115-3184",finish,42.345,-71.08431399999999
89,89,95,https://www.tripadvisor.com/Hotel_Review-g60745-d222955-Reviews-The_Ritz_Carlton_Boston-Boston_Massachusetts.html,"10 Avery Street, Boston, MA 02111",finish,42.3531023,-71.06334009999999
90,90,97,https://www.tripadvisor.com/Hotel_Review-g60745-d1467037-Reviews-Green_Turtle_Floating_Bed_and_Breakfast-Boston_Massachusetts.html,"1 Pier 8 at the end of 13th Street, Boston, MA 02129-2017",finish,42.3757247,-71.04968389999999
91,91,98,https://www.tripadvisor.com/Hotel_Review-g60745-d225873-Reviews-Charlesmark_Hotel-Boston_Massachusetts.html,"655 Boylston St, Boston, MA 02116-2804",finish,42.3500609,-71.0785848
92,92,99,https://www.tripadvisor.com/Hotel_Review-g60745-d555224-Reviews-Courtyard_Boston_South_Boston-Boston_Massachusetts.html,"63R Bolton St, Boston, MA 02127-1105",finish,42.3415599,-71.0523116
93,93,100,https://www.tripadvisor.com/Hotel_Review-g60745-d77629-Reviews-Hotel_Boston-Boston_Massachusetts.html,"40 Mount Hood Rd, Boston, MA 02135-5604",finish,42.341758,-71.1431854
94,94,101,https://www.tripadvisor.com/Hotel_Review-g60745-d89615-Reviews-The_Newbury_Boston-Boston_Massachusetts.html,"One Newbury Street, Boston, MA 02116",finish,42.3526921,-71.07124259999999
95,95,103,https://www.tripadvisor.com/Hotel_Review-g60745-d21002823-Reviews-Homewood_Suites_by_Hilton_Boston_Seaport-Boston_Massachusetts.html,"670 Summer Street Corner of Summer St and Drydock Ave, Boston, MA 02210",finish,42.34325219999999,-71.0372457
96,96,104,https://www.tripadvisor.com/Hotel_Review-g60745-d21002821-Reviews-Hampton_Inn_Boston_Seaport-Boston_Massachusetts.html,"670 Summer Street Corner of Summer St and Drydock Ave, Boston, MA 02210",finish,42.34325219999999,-71.0372457
97,97,105,https://www.tripadvisor.com/Hotel_Review-g60745-d17627659-Reviews-Bedrooms_near_Fenway_Dowtown_Boston-Boston_Massachusetts.html,"182 Heath St, Boston, MA 02130-1129",finish,42.3259636,-71.1049535
98,98,106,https://www.tripadvisor.com/Hotel_Review-g60745-d19957010-Reviews-Private_Rooms_Shared_Bath_In_Cozy_Homestay-Boston_Massachusetts.html,"296 Lexington St, Boston, MA 02128-2514",finish,42.3810426,-71.02904579999999
99,99,107,https://www.tripadvisor.com/Hotel_Review-g60745-d2079076-Reviews-14_Union_Park-Boston_Massachusetts.html,"14 Union Park, Boston, MA 02118-3700",finish,42.3423679,-71.0713075
100,100,108,https://www.tripadvisor.com/Hotel_Review-g60745-d16670117-Reviews-The_Upton-Boston_Massachusetts.html,"592 Tremont St, Boston, MA 02118-1654",finish,42.3429098,-71.07301369999999
101,101,109,https://www.tripadvisor.com/Hotel_Review-g60745-d15012308-Reviews-Perkins_Inn-Boston_Massachusetts.html,"32 Perkins St, Boston, MA 02130-1109",finish,42.3215157,-71.1116615
102,102,110,https://www.tripadvisor.com/Hotel_Review-g60745-d1672194-Reviews-Back_Bay_Beacon-Boston_Massachusetts.html,"113 Beacon St, Boston, MA 02116-1533",finish,42.3549779,-71.0732458
103,103,111,https://www.tripadvisor.com/Hotel_Review-g60745-d13119752-Reviews-Stay_Alfred_on_Longfellow_Place-Boston_Massachusetts.html,"1 Longfellow Place, Boston, MA 02114-2438",finish,42.3637488,-71.06472649999999
104,104,112,https://www.tripadvisor.com/Hotel_Review-g60745-d14994379-Reviews-Stay_Alfred_on_Garrison_Street-Boston_Massachusetts.html,"32 Garrison St, Boston, MA 02116-5740",finish,42.3457058,-71.079083
105,105,113,https://www.tripadvisor.com/Hotel_Review-g60745-d15750391-Reviews-Stay_Alfred_on_A_Street-Boston_Massachusetts.html,"315 A St Ste A, Boston, MA 02210-1660",finish,42.3486656,-71.0483639
